product_id,product_name,category_id,product_desc,product_code,price,inventory_id,created_time,modified_time,suppliers_id
31,Chic Tote Bag,13,Chic tote bag for a sophisticated style,PRD031,54.99,31,2023-10-21 21:45:00,2023-10-21 21:45:00,4
32,Bohemian Earrings,14,Bohemian earrings for a free-spirited look,PRD032,23.99,32,2023-10-20 03:0:00,2023-10-20 03:0:00,5
33,Classic Wayfarer Sunglasses,15,Classic wayfarer sunglasses for a timeless appeal,PRD033,39.99,33,2023-10-19 19:15:00,2023-10-19 19:15:00,5
34,Hydrating Face Mask,6,Hydrating face mask for a refreshing experience,PRD034,9.99,34,2023-10-18 10:30:00,2023-10-18 10:30:00,1
35,Anti-Aging Night Cream,6,Anti-aging night cream for youthful skin,PRD035,29.99,35,2023-10-17 15:45:00,2023-10-17 15:45:00,1
36,Badminton Racket Set,8,Badminton racket set for recreational play,PRD036,49.99,36,2023-10-16 20:0:00,2023-10-16 20:0:00,2
37,Omega-3 Fish Oil Capsules,9,Essential omega-3 fish oil capsules,PRD037,18.99,37,2023-10-15 08:15:00,2023-10-15 08:15:00,1
38,Lemon Essential Oil,10,Lemon essential oil for a refreshing atmosphere,PRD038,14.99,38,2023-10-14 23:30:00,2023-10-14 23:30:00,3
39,Cozy Cat Tower,11,Cozy tower for your cat's comfort,PRD039,39.99,39,2023-10-13 05:45:00,2023-10-13 05:45:00,4
40,Chewy Chicken Jerky,11,Chewy chicken jerky for dogs,PRD040,11.99,40,2023-10-12 18:0:00,2023-10-12 18:0:00,4
41,Educational Puzzle Set,12,Educational puzzle set for kids,PRD041,24.99,41,2023-10-11 12:30:00,2023-10-11 12:30:00,3
42,Stylish Kids' Jacket,12,Stylish jacket for fashionable kids,PRD042,34.99,42,2023-10-10 14:45:00,2023-10-10 14:45:00,3
43,Colorful Building Blocks,12,Colorful and creative building blocks,PRD043,19.99,43,2023-10-09 09:0:00,2023-10-09 09:0:00,3
44,Classic Loafers,7,Classic loafers for a timeless style,PRD044,49.99,44,2023-10-08 16:30:00,2023-10-08 16:30:00,2
45,Designer Crossbody Bag,13,Designer crossbody bag for a chic look,PRD045,69.99,45,2023-10-07 21:45:00,2023-10-07 21:45:00,4
